YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,NYC Public Schools,66.0,1.0,39.0,39.0,7.0,67.0,85.0
2014,ALBANY CITY SCHOOL DISTRICT,68.0,4.0,51.0,16.0,9.0,72.0,76.0
2014,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,27.0,6.0,1.0,1.0,1.0,33.0,3.0
2014,BETHLEHEM CENTRAL SCHOOL DISTRICT,6.0,2.0,2.0,2.0,6.0,8.0,10.0
2014,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,31.0,6.0,4.0,6.0,1.0,37.0,11.0
2014,COHOES CITY SCHOOL DISTRICT,53.0,8.0,9.0,6.0,1.0,61.0,16.0
2014,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,17.0,5.0,7.0,6.0,8.0,22.0,21.0
2014,MENANDS UNION FREE SCHOOL DISTRICT,23.0,6.0,22.0,7.0,29.0,29.0,58.0
2014,NORTH COLONIE CSD,9.0,3.0,5.0,4.0,13.0,12.0,22.0
2014,GREEN ISLAND UNION FREE SCHOOL DISTRICT,41.0,15.0,5.0,3.0,1.0,56.0,9.0
2014,GUILDERLAND CENTRAL SCHOOL DISTRICT,9.0,3.0,3.0,3.0,10.0,12.0,16.0
2014,HARPURSVILLE CENTRAL SCHOOL DISTRICT,38.0,12.0,1.0,1.0,1.0,50.0,3.0
2014,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,29.0,8.0,2.0,2.0,1.0,37.0,5.0
2014,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,28.0,8.0,2.0,2.0,2.0,36.0,6.0
2014,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,24.0,6.0,2.0,2.0,2.0,30.0,6.0
2014,DEPOSIT CENTRAL SCHOOL DISTRICT,51.0,14.0,3.0,2.0,0.0,65.0,5.0
2014,WHITNEY POINT CENTRAL SCHOOL DISTRICT,44.0,12.0,1.0,1.0,1.0,56.0,3.0
2014,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,39.0,7.0,7.0,6.0,2.0,46.0,15.0
2014,JOHNSON CITY CENTRAL SCHOOL DISTRICT,55.0,8.0,13.0,9.0,6.0,63.0,28.0
2014,VESTAL CENTRAL SCHOOL DISTRICT,14.0,5.0,3.0,3.0,8.0,19.0,14.0
2014,WINDSOR CENTRAL SCHOOL DISTRICT,31.0,11.0,2.0,2.0,1.0,42.0,5.0
2014,WEST VALLEY CENTRAL SCHOOL DISTRICT,29.0,13.0,1.0,1.0,0.0,42.0,2.0
2014,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,22.0,7.0,1.0,1.0,2.0,29.0,4.0
2014,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,26.0,8.0,0.0,2.0,2.0,34.0,4.0
2014,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,43.0,11.0,0.0,2.0,1.0,54.0,3.0
2014,HINSDALE CENTRAL SCHOOL DISTRICT,36.0,15.0,1.0,1.0,2.0,51.0,4.0
2014,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,34.0,12.0,1.0,3.0,0.0,46.0,4.0
2014,OLEAN CITY SCHOOL DISTRICT,43.0,9.0,7.0,3.0,2.0,52.0,12.0
2014,GOWANDA CENTRAL SCHOOL DISTRICT,42.0,11.0,1.0,2.0,0.0,53.0,3.0
2014,PORTVILLE CENTRAL SCHOOL DISTRICT,25.0,11.0,1.0,1.0,0.0,36.0,2.0
2014,RANDOLPH CENTRAL SCHOOL DISTRICT,34.0,14.0,0.0,2.0,1.0,48.0,3.0
2014,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,35.0,1.0,33.0,13.0,1.0,36.0,47.0
2014,SALAMANCA CITY SCHOOL DISTRICT,54.0,9.0,2.0,4.0,1.0,63.0,7.0
2014,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,5.0,3.0,1.0,2.0,3.0,8.0,6.0
2014,WATERVLIET CITY SCHOOL DISTRICT,53.0,14.0,17.0,12.0,4.0,67.0,33.0
2014,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,28.0,8.0,1.0,1.0,5.0,36.0,7.0
2014,ANDOVER CENTRAL SCHOOL DISTRICT,40.0,16.0,1.0,2.0,0.0,56.0,3.0
2014,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,39.0,9.0,3.0,1.0,1.0,48.0,5.0
2014,BELFAST CENTRAL SCHOOL DISTRICT,38.0,13.0,0.0,3.0,0.0,51.0,3.0
2014,CANASERAGA CENTRAL SCHOOL DISTRICT,31.0,6.0,0.0,1.0,0.0,37.0,1.0
2014,FRIENDSHIP CENTRAL SCHOOL DISTRICT,55.0,7.0,0.0,1.0,0.0,62.0,1.0
2014,FILLMORE CENTRAL SCHOOL DISTRICT,37.0,11.0,1.0,1.0,0.0,48.0,2.0
2014,WHITESVILLE CENTRAL SCHOOL DISTRICT,37.0,11.0,0.0,1.0,0.0,48.0,1.0
2014,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,37.0,9.0,2.0,2.0,1.0,46.0,5.0
2014,SCIO CENTRAL SCHOOL DISTRICT,44.0,20.0,1.0,0.0,0.0,64.0,1.0
2014,WELLSVILLE CENTRAL SCHOOL DISTRICT,36.0,12.0,1.0,1.0,2.0,48.0,4.0
2014,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,44.0,14.0,1.0,1.0,0.0,58.0,2.0
2014,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,27.0,9.0,2.0,3.0,0.0,36.0,5.0
2014,BINGHAMTON CITY SCHOOL DISTRICT,61.0,6.0,26.0,12.0,3.0,67.0,41.0
2014,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,35.0,15.0,1.0,2.0,1.0,50.0,4.0
2014,PERRY CENTRAL SCHOOL DISTRICT,32.0,11.0,0.0,3.0,0.0,43.0,3.0
2014,WARSAW CENTRAL SCHOOL DISTRICT,30.0,7.0,0.0,3.0,1.0,37.0,4.0
2014,PENN YAN CENTRAL SCHOOL DISTRICT,40.0,10.0,1.0,4.0,1.0,50.0,6.0
2014,DUNDEE CENTRAL SCHOOL DISTRICT,41.0,12.0,1.0,2.0,1.0,53.0,4.0
2014,AUBURN CITY SCHOOL DISTRICT,41.0,6.0,8.0,4.0,1.0,47.0,13.0
2014,WEEDSPORT CENTRAL SCHOOL DISTRICT,18.0,5.0,1.0,2.0,2.0,23.0,5.0
2014,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,27.0,10.0,1.0,1.0,0.0,37.0,2.0
2014,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,28.0,7.0,1.0,7.0,1.0,35.0,9.0
2014,PORT BYRON CENTRAL SCHOOL DISTRICT,33.0,7.0,1.0,2.0,0.0,40.0,3.0
2014,MORAVIA CENTRAL SCHOOL DISTRICT,33.0,11.0,0.0,1.0,0.0,44.0,1.0
2014,UNION SPRINGS CENTRAL SCHOOL DISTRICT,23.0,7.0,2.0,3.0,1.0,30.0,6.0
2014,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,22.0,5.0,1.0,2.0,2.0,27.0,5.0
2014,FREWSBURG CENTRAL SCHOOL DISTRICT,25.0,9.0,1.0,1.0,1.0,34.0,3.0
2014,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,43.0,11.0,1.0,2.0,0.0,54.0,3.0
2014,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,12.0,4.0,1.0,1.0,1.0,16.0,3.0
2014,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),37.0,10.0,0.0,3.0,0.0,47.0,3.0
2014,CLYMER CENTRAL SCHOOL DISTRICT,32.0,8.0,1.0,1.0,1.0,40.0,3.0
2014,DUNKIRK CITY SCHOOL DISTRICT,64.0,6.0,8.0,48.0,0.0,70.0,56.0
2014,BEMUS POINT CENTRAL SCHOOL DISTRICT,15.0,5.0,1.0,1.0,2.0,20.0,4.0
2014,FALCONER CENTRAL SCHOOL DISTRICT,35.0,9.0,1.0,2.0,1.0,44.0,4.0
2014,SILVER CREEK CENTRAL SCHOOL DISTRICT,43.0,9.0,1.0,7.0,0.0,52.0,8.0
2014,FORESTVILLE CENTRAL SCHOOL DISTRICT,29.0,15.0,2.0,6.0,0.0,44.0,8.0
2014,PANAMA CENTRAL SCHOOL DISTRICT,26.0,12.0,0.0,3.0,0.0,38.0,3.0
2014,JAMESTOWN CITY SCHOOL DISTRICT,57.0,4.0,4.0,19.0,0.0,61.0,23.0
2014,FREDONIA CENTRAL SCHOOL DISTRICT,25.0,8.0,1.0,10.0,2.0,33.0,13.0
2014,BROCTON CENTRAL SCHOOL DISTRICT,45.0,19.0,1.0,9.0,0.0,64.0,10.0
2014,RIPLEY CENTRAL SCHOOL DISTRICT,52.0,14.0,0.0,1.0,0.0,66.0,1.0
2014,SHERMAN CENTRAL SCHOOL DISTRICT,38.0,15.0,1.0,1.0,0.0,53.0,2.0
2014,WESTFIELD CENTRAL SCHOOL DISTRICT,37.0,10.0,1.0,5.0,1.0,47.0,7.0
2014,ELMIRA CITY SCHOOL DISTRICT,56.0,5.0,16.0,2.0,1.0,61.0,19.0
2014,HORSEHEADS CENTRAL SCHOOL DISTRICT,23.0,6.0,2.0,3.0,3.0,29.0,8.0
2014,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,42.0,7.0,1.0,2.0,1.0,49.0,4.0
2014,AFTON CENTRAL SCHOOL DISTRICT,50.0,14.0,2.0,3.0,1.0,64.0,6.0
2014,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,39.0,10.0,0.0,2.0,1.0,49.0,3.0
2014,GREENE CENTRAL SCHOOL DISTRICT,32.0,12.0,1.0,2.0,1.0,44.0,4.0
2014,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,51.0,13.0,2.0,1.0,1.0,64.0,4.0
2014,NORWICH CITY SCHOOL DISTRICT,48.0,6.0,3.0,3.0,1.0,54.0,7.0
2014,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,39.0,13.0,2.0,4.0,0.0,52.0,6.0
2014,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,42.0,14.0,1.0,5.0,0.0,56.0,6.0
2014,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,38.0,13.0,0.0,1.0,1.0,51.0,2.0
2014,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,35.0,12.0,2.0,1.0,1.0,47.0,4.0
2014,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,41.0,10.0,2.0,1.0,1.0,51.0,4.0
2014,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,35.0,10.0,1.0,1.0,1.0,45.0,3.0
2014,CHAZY UNION FREE SCHOOL DISTRICT,22.0,4.0,1.0,0.0,0.0,26.0,1.0
2014,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,39.0,9.0,0.0,0.0,1.0,48.0,1.0
2014,PERU CENTRAL SCHOOL DISTRICT,29.0,10.0,2.0,1.0,1.0,39.0,4.0
2014,PLATTSBURGH CITY SCHOOL DISTRICT,39.0,7.0,7.0,0.0,3.0,46.0,10.0
2014,SARANAC CENTRAL SCHOOL DISTRICT,15.0,6.0,1.0,1.0,0.0,21.0,2.0
2014,BERKSHIRE UNION FREE SCHOOL DISTRICT,77.0,1.0,51.0,14.0,0.0,78.0,65.0
2014,TACONIC HILLS CENTRAL SCHOOL DISTRICT,37.0,14.0,2.0,8.0,1.0,51.0,11.0
2014,GERMANTOWN CENTRAL SCHOOL DISTRICT,23.0,8.0,1.0,8.0,1.0,31.0,10.0
2014,CHATHAM CENTRAL SCHOOL DISTRICT,21.0,8.0,3.0,5.0,1.0,29.0,9.0
2014,HUDSON CITY SCHOOL DISTRICT,52.0,10.0,24.0,13.0,10.0,62.0,47.0
2014,KINDERHOOK CENTRAL SCHOOL DISTRICT,24.0,5.0,3.0,2.0,1.0,29.0,6.0
2014,NEW LEBANON CENTRAL SCHOOL DISTRICT,20.0,14.0,4.0,1.0,1.0,34.0,6.0
2014,CINCINNATUS CENTRAL SCHOOL DISTRICT,42.0,11.0,0.0,1.0,0.0,53.0,1.0
2014,CORTLAND CITY SCHOOL DISTRICT,42.0,9.0,4.0,4.0,1.0,51.0,9.0
