YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
2014,ALBANY CITY SCHOOL DISTRICT,0.16,0.19,0.15859903381642512
2014,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,0.1,0.14,0.09761194029850748
2014,BETHLEHEM CENTRAL SCHOOL DISTRICT,0.1,0.2,0.09853372434017596
2014,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,0.14,0.07,0.14297872340425533
2014,COHOES CITY SCHOOL DISTRICT,0.12,0.23,0.11723270440251571
2014,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,0.16,,
2014,MENANDS UNION FREE SCHOOL DISTRICT,0.04,0.0,0.04307692307692308
2014,NORTH COLONIE CSD,0.06,0.3,0.048224299065420556
2014,GREEN ISLAND UNION FREE SCHOOL DISTRICT,0.03,0.0,0.03321428571428571
2014,GUILDERLAND CENTRAL SCHOOL DISTRICT,0.13,0.45,0.12522388059701492
2014,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,0.05,0.0,0.051075268817204304
2014,WATERVLIET CITY SCHOOL DISTRICT,0.08,0.09,0.07972222222222224
2014,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,0.02,0.0,0.02
2014,ANDOVER CENTRAL SCHOOL DISTRICT,0.17,0.25,0.17
2014,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,0.1,0.33,0.08767857142857143
2014,BELFAST CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0
2014,CANASERAGA CENTRAL SCHOOL DISTRICT,0.1,0.2,0.076
2014,FRIENDSHIP CENTRAL SCHOOL DISTRICT,0.13,0.25,0.12314285714285715
2014,FILLMORE CENTRAL SCHOOL DISTRICT,0.03,0.0,0.029999999999999995
2014,WHITESVILLE CENTRAL SCHOOL DISTRICT,0.07,0.2,0.05960000000000001
2014,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,0.22,0.43,0.21716216216216216
2014,SCIO CENTRAL SCHOOL DISTRICT,0.07,0.5,0.025897435897435903
2014,WELLSVILLE CENTRAL SCHOOL DISTRICT,0.09,0.17,0.08157894736842104
2014,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,0.01,0.0,0.010128205128205128
2014,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,0.2,0.2,0.2
2014,BINGHAMTON CITY SCHOOL DISTRICT,0.11,0.27,0.10545638945233266
2014,HARPURSVILLE CENTRAL SCHOOL DISTRICT,0.07,0.08,0.06937499999999999
2014,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,0.1,0.22,0.0968
2014,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,0.12,0.0,0.12377952755905511
2014,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,0.2,0.55,0.19410112359550563
2014,DEPOSIT CENTRAL SCHOOL DISTRICT,0.02,0.0,0.02035714285714286
2014,WHITNEY POINT CENTRAL SCHOOL DISTRICT,0.07,0.33,0.057419354838709684
2014,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,0.09,0.15,0.08866242038216561
2014,JOHNSON CITY CENTRAL SCHOOL DISTRICT,0.11,0.25,0.09862944162436547
2014,VESTAL CENTRAL SCHOOL DISTRICT,0.12,0.07,0.12190114068441063
2014,WINDSOR CENTRAL SCHOOL DISTRICT,0.08,0.09,0.07979452054794521
2014,WEST VALLEY CENTRAL SCHOOL DISTRICT,0.14,0.0,0.14
2014,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,0.18,0.0,0.18178217821782178
2014,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,0.08,,
2014,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,0.11,0.5,0.104
2014,HINSDALE CENTRAL SCHOOL DISTRICT,0.07,0.33,0.05097560975609756
2014,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,0.12,0.0,0.12146341463414632
2014,OLEAN CITY SCHOOL DISTRICT,0.09,0.25,0.08623529411764706
2014,GOWANDA CENTRAL SCHOOL DISTRICT,0.04,0.0,0.040983606557377046
2014,PORTVILLE CENTRAL SCHOOL DISTRICT,0.1,0.0,0.10441176470588236
2014,RANDOLPH CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07807692307692309
2014,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,0.22,0.33,0.2037037037037037
2014,SALAMANCA CITY SCHOOL DISTRICT,0.17,0.25,0.16639639639639642
2014,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,0.12,0.07,0.12355329949238579
2014,AUBURN CITY SCHOOL DISTRICT,0.1,0.0,0.10403726708074534
2014,WEEDSPORT CENTRAL SCHOOL DISTRICT,0.1,0.0,0.10416666666666667
2014,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,0.06,0.0,0.06216867469879518
2014,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,0.2,0.0,0.21935483870967745
2014,PORT BYRON CENTRAL SCHOOL DISTRICT,0.07,0.33,0.054242424242424245
2014,MORAVIA CENTRAL SCHOOL DISTRICT,0.15,0.27,0.14013698630136986
2014,UNION SPRINGS CENTRAL SCHOOL DISTRICT,0.03,0.11,0.026521739130434784
2014,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,0.14,0.0,0.14120689655172416
2014,FREWSBURG CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07430769230769231
2014,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,0.2,0.25,0.2
2014,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,0.06,0.0,0.06296296296296296
2014,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),0.04,0.0,0.04056338028169014
2014,CLYMER CENTRAL SCHOOL DISTRICT,0.04,0.0,0.04086956521739131
2014,DUNKIRK CITY SCHOOL DISTRICT,0.16,0.0,0.16246153846153846
2014,BEMUS POINT CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08125
2014,FALCONER CENTRAL SCHOOL DISTRICT,0.05,0.0,0.0514423076923077
2014,SILVER CREEK CENTRAL SCHOOL DISTRICT,0.14,0.0,0.1442857142857143
2014,FORESTVILLE CENTRAL SCHOOL DISTRICT,0.13,0.0,0.13530612244897958
2014,PANAMA CENTRAL SCHOOL DISTRICT,0.11,0.0,0.11423076923076923
2014,JAMESTOWN CITY SCHOOL DISTRICT,0.1,0.17,0.09763855421686747
2014,FREDONIA CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07106870229007634
2014,BROCTON CENTRAL SCHOOL DISTRICT,0.1,0.2,0.09423076923076924
2014,RIPLEY CENTRAL SCHOOL DISTRICT,0.41,,
2014,SHERMAN CENTRAL SCHOOL DISTRICT,0.15,0.25,0.14302325581395348
2014,WESTFIELD CENTRAL SCHOOL DISTRICT,0.1,0.25,0.1
2014,ELMIRA CITY SCHOOL DISTRICT,0.17,0.6,0.17
2014,HORSEHEADS CENTRAL SCHOOL DISTRICT,0.09,0.18,0.08709677419354837
2014,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,0.12,0.09,0.12225000000000001
2014,AFTON CENTRAL SCHOOL DISTRICT,0.08,0.11,0.0775
2014,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,0.15,0.33,0.14470588235294118
2014,GREENE CENTRAL SCHOOL DISTRICT,0.12,0.5,0.11577777777777777
2014,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,0.41,0.0,0.4352307692307692
2014,NORWICH CITY SCHOOL DISTRICT,0.1,0.06,0.10258064516129033
2014,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,0.15,0.0,0.159375
2014,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,0.1,0.0,0.10533333333333333
2014,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT,0.12,0.33,0.11844444444444445
2014,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,0.04,0.0,0.04104347826086956
2014,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08201257861635221
2014,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,0.14,0.2,0.13891891891891894
2014,CHAZY UNION FREE SCHOOL DISTRICT,0.04,0.0,0.04
2014,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,0.09,0.29,0.08523809523809522
2014,PERU CENTRAL SCHOOL DISTRICT,0.09,0.0,0.0923076923076923
2014,PLATTSBURGH CITY SCHOOL DISTRICT,0.08,0.07,0.08043956043956044
2014,SARANAC CENTRAL SCHOOL DISTRICT,0.1,0.0,0.1044776119402985
2014,BERKSHIRE UNION FREE SCHOOL DISTRICT,0.33,0.5,0.3178571428571429
2014,TACONIC HILLS CENTRAL SCHOOL DISTRICT,0.17,0.27,0.165
2014,GERMANTOWN CENTRAL SCHOOL DISTRICT,0.14,0.25,0.1358490566037736
2014,CHATHAM CENTRAL SCHOOL DISTRICT,0.1,0.17,0.09230000000000001
2014,HUDSON CITY SCHOOL DISTRICT,0.17,0.29,0.16845161290322583
2014,KINDERHOOK CENTRAL SCHOOL DISTRICT,0.08,0.08,0.08
2014,NEW LEBANON CENTRAL SCHOOL DISTRICT,0.15,0.15,0.15
2014,CINCINNATUS CENTRAL SCHOOL DISTRICT,0.14,0.17,0.13718750000000002
2014,CORTLAND CITY SCHOOL DISTRICT,0.12,0.3,0.10363636363636364
2014,MCGRAW CENTRAL SCHOOL DISTRICT,0.07,0.0,0.07660377358490567
2014,HOMER CENTRAL SCHOOL DISTRICT,0.22,0.29,0.21423529411764702
2014,MARATHON CENTRAL SCHOOL DISTRICT,0.13,0.0,0.13825396825396827
2014,ANDES CENTRAL SCHOOL DISTRICT,0.04,0.0,0.04
2014,DOWNSVILLE CENTRAL SCHOOL DISTRICT,0.11,0.25,0.10125
2014,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,0.05,0.09,0.045428571428571436
2014,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,0.08,0.14,0.07753424657534247
2014,FRANKLIN CENTRAL SCHOOL DISTRICT,0.03,0.0,0.031034482758620686
2014,HANCOCK CENTRAL SCHOOL DISTRICT,0.13,0.0,0.13951219512195123
2014,MARGARETVILLE CENTRAL SCHOOL DISTRICT,0.13,0.14,0.1289189189189189
2014,ROXBURY CENTRAL SCHOOL DISTRICT,0.07,0.14,0.06461538461538463
2014,SIDNEY CENTRAL SCHOOL DISTRICT,0.42,0.7,0.37644444444444447
2014,STAMFORD CENTRAL SCHOOL DISTRICT,0.19,0.0,0.2078125
2014,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,0.11,0.0,0.12
2014,WALTON CENTRAL SCHOOL DISTRICT,0.14,0.2,0.13929411764705885
2014,BEACON CITY SCHOOL DISTRICT,0.14,0.22,0.13582608695652174
2014,DOVER UNION FREE SCHOOL DISTRICT,0.11,0.0,0.113
2014,HYDE PARK CENTRAL SCHOOL DISTRICT,0.12,0.24,0.11194346289752652
2014,NORTHEAST CENTRAL SCHOOL DISTRICT,0.13,0.0,0.133768115942029
2014,PAWLING CENTRAL SCHOOL DISTRICT,0.19,0.25,0.1875757575757576
2014,PINE PLAINS CENTRAL SCHOOL DISTRICT,0.11,0.0,0.11370786516853931
2014,POUGHKEEPSIE CITY SCHOOL DISTRICT,0.16,0.19,0.15751655629139072
2014,ARLINGTON CENTRAL SCHOOL DISTRICT,0.12,0.35,0.1111674347158218
2014,SPACKENKILL UNION FREE SCHOOL DISTRICT,0.16,0.4,0.1550344827586207
2014,RED HOOK CENTRAL SCHOOL DISTRICT,0.11,0.08,0.11165644171779143
2014,RHINEBECK CENTRAL SCHOOL DISTRICT,0.07,0.08,0.06948453608247424
2014,WAPPINGERS CENTRAL SCHOOL DISTRICT,0.07,0.21,0.06640102827763497
2014,MILLBROOK CENTRAL SCHOOL DISTRICT,0.12,0.11,0.12033333333333333
2014,ALDEN CENTRAL SCHOOL DISTRICT,0.08,0.2,0.0773134328358209
2014,AMHERST CENTRAL SCHOOL DISTRICT,0.07,0.3,0.06318518518518519
2014,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,0.11,0.32,0.1052589641434263
2014,SWEET HOME CENTRAL SCHOOL DISTRICT,0.08,0.33,0.07728260869565218
2014,EAST AURORA UNION FREE SCHOOL DISTRICT,0.14,0.29,0.13323308270676693
2014,BUFFALO CITY SCHOOL DISTRICT,0.17,0.25,0.16623698384201077
2014,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,0.17,0.25,0.162
2014,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,0.13,0.22,0.12574324324324326
2014,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,0.11,0.22,0.10910569105691056
2014,DEPEW UNION FREE SCHOOL DISTRICT,0.14,0.0,0.14086956521739133
2014,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,0.09,0.25,0.08731092436974788
2014,CLARENCE CENTRAL SCHOOL DISTRICT,0.16,0.33,0.16
2014,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,0.06,0.33,0.060000000000000005
2014,EDEN CENTRAL SCHOOL DISTRICT,0.14,0.33,0.13366666666666668
2014,IROQUOIS CENTRAL SCHOOL DISTRICT,0.15,0.0,0.1515463917525773
2014,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),0.06,0.22,0.06
2014,GRAND ISLAND CENTRAL SCHOOL DISTRICT,0.07,0.17,0.06870129870129871
2014,HAMBURG CENTRAL SCHOOL DISTRICT,0.12,0.0,0.12124137931034482
2014,FRONTIER CENTRAL SCHOOL DISTRICT,0.11,0.63,0.1071891891891892
2014,HOLLAND CENTRAL SCHOOL DISTRICT,0.18,0.0,0.1872972972972973
2014,LACKAWANNA CITY SCHOOL DISTRICT,0.27,0.0,0.275472972972973
2014,LANCASTER CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08075294117647058
2014,AKRON CENTRAL SCHOOL DISTRICT,0.09,0.0,0.09195652173913042
2014,NORTH COLLINS CENTRAL SCHOOL DISTRICT,0.1,0.14,0.09793103448275862
2014,ORCHARD PARK CENTRAL SCHOOL DISTRICT,0.09,0.3,0.08234375000000001
2014,TONAWANDA CITY SCHOOL DISTRICT,0.11,0.25,0.10906040268456375
2014,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,0.15,0.33,0.14772870662460566
2014,WEST SENECA CENTRAL SCHOOL DISTRICT,0.21,0.18,0.21041666666666667
