DISTRICT,YEAR,PER_TURN_ALL,PER_TURN_INEXP,NUM_TEACH,NUM_TEACH_INEXP,PER_TEACH_INEXP,NUM_TEACH_EXP,PER_TEACH_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_FRPL,K12,ATTENDANCE_RATE,PER_ELL,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_SWD,PER_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP,NUM_TOT_TURN,NUM_INEXP_TURN,NUM_EXP_TURN,PER_TURN_EXP
ALBANY CITY SD,2022,0.11,0.19,703.0,81.0,12.0,622.0,88.47795163584638,71.0,0.0,71.0,7977.0,87.0,12.0,44.0,20.0,9.0,18.0,16.0,23105.0,26464.0,77.33,15.39,61.94,0.09958199356913183
BERNE-KNOX-WESTERLO CSD,2022,0.13,0.33,80.0,12.0,15.0,68.0,85.0,27.0,3.0,30.0,674.0,94.0,0.0,0.0,3.0,0.0,94.0,16.0,26373.0,28087.0,10.4,3.96,6.44,0.09470588235294118
BETHLEHEM CSD,2022,0.08,0.15,350.0,54.0,15.0,296.0,84.57142857142857,11.0,0.0,11.0,4151.0,94.0,1.0,2.0,4.0,7.0,84.0,12.0,18537.0,18971.0,28.0,8.1,19.9,0.06722972972972972
RAVENA-COEYMANS-SELKIRK CSD,2022,0.17,0.21,187.0,45.0,24.0,142.0,75.93582887700535,37.0,1.0,38.0,1730.0,92.0,1.0,4.0,9.0,1.0,80.0,18.0,20201.0,21161.0,31.790000000000003,9.45,22.340000000000003,0.15732394366197186
COHOES CITY SD,2022,0.15,0.28,165.0,18.0,11.0,147.0,89.0909090909091,67.0,1.0,68.0,1816.0,90.0,2.0,10.0,11.0,2.0,67.0,20.0,16094.0,18106.0,24.75,5.040000000000001,19.71,0.13408163265306122
SOUTH COLONIE CSD,2022,0.15,0.32,343.0,31.0,9.0,312.0,90.96209912536443,29.0,1.0,30.0,4669.0,92.0,5.0,9.0,10.0,11.0,62.0,15.0,18334.0,19565.0,51.449999999999996,9.92,41.529999999999994,0.13310897435897434
MENANDS UFSD,2022,0.1,0.0,29.0,2.0,7.0,27.0,93.10344827586206,35.0,5.0,40.0,305.0,91.0,10.0,39.0,8.0,25.0,24.0,14.0,19875.0,21269.0,2.9000000000000004,0.0,2.9000000000000004,0.10740740740740742
NORTH COLONIE CSD,2022,0.14,0.3,479.0,70.0,15.0,409.0,85.38622129436325,19.0,3.0,22.0,6006.0,93.0,6.0,7.0,6.0,21.0,59.0,15.0,16555.0,17848.0,67.06,21.0,46.06,0.11261613691931541
GREEN ISLAND UFSD,2022,0.17,0.2,46.0,18.0,39.0,28.0,60.86956521739131,59.0,4.0,63.0,268.0,90.0,1.0,9.0,4.0,1.0,71.0,22.0,22473.0,25086.0,7.82,3.6,4.220000000000001,0.15071428571428575
GUILDERLAND CSD,2022,0.1,0.23,435.0,60.0,14.0,375.0,86.20689655172413,17.0,1.0,18.0,4828.0,93.0,6.0,4.0,5.0,15.0,71.0,12.0,18239.0,18877.0,43.5,13.8,29.7,0.07919999999999999
VOORHEESVILLE CSD,2022,0.1,0.38,95.0,7.0,7.0,88.0,92.63157894736842,10.0,0.0,10.0,1204.0,94.0,1.0,1.0,4.0,3.0,88.0,11.0,20584.0,22116.0,9.5,2.66,6.84,0.07772727272727273
WATERVLIET CITY SD,2022,0.1,0.08,104.0,15.0,14.0,89.0,85.57692307692307,66.0,2.0,68.0,1303.0,88.0,8.0,17.0,19.0,11.0,42.0,17.0,13847.0,15571.0,10.4,1.2,9.200000000000001,0.10337078651685394
ALFRED-ALMOND CSD,2022,0.18,0.33,53.0,13.0,25.0,40.0,75.47169811320755,32.0,4.0,36.0,558.0,94.0,0.0,1.0,5.0,3.0,89.0,14.0,18758.0,20303.0,9.54,4.29,5.249999999999999,0.13124999999999998
ANDOVER CSD,2022,0.17,0.0,20.0,1.0,5.0,19.0,95.0,47.0,4.0,51.0,249.0,91.0,0.0,0.0,1.0,1.0,97.0,18.0,23866.0,28990.0,3.4000000000000004,0.0,3.4000000000000004,0.17894736842105266
GENESEE VALLEY CSD,2022,0.13,0.18,68.0,13.0,19.0,55.0,80.88235294117648,48.0,4.0,52.0,461.0,90.0,0.0,2.0,2.0,1.0,94.0,19.0,25226.0,27630.0,8.84,2.34,6.5,0.11818181818181818
BELFAST CSD,2022,0.09,0.11,38.0,9.0,24.0,29.0,76.31578947368422,50.0,6.0,56.0,313.0,94.0,0.0,1.0,1.0,0.0,96.0,19.0,22787.0,25928.0,3.42,0.99,2.4299999999999997,0.08379310344827585
CANASERAGA CSD,2022,0.19,0.44,26.0,5.0,19.0,21.0,80.76923076923077,39.0,2.0,41.0,194.0,93.0,0.0,1.0,7.0,1.0,92.0,15.0,23745.0,27282.0,4.94,2.2,2.74,0.1304761904761905
FRIENDSHIP CSD,2022,0.27,0.36,32.0,13.0,41.0,19.0,59.375,58.0,3.0,61.0,260.0,88.0,0.0,1.0,2.0,0.0,93.0,14.0,36716.0,39682.0,8.64,4.68,3.960000000000001,0.20842105263157898
FILLMORE CSD,2022,0.07,0.0,61.0,9.0,15.0,52.0,85.24590163934425,49.0,7.0,56.0,604.0,93.0,0.0,1.0,1.0,1.0,96.0,14.0,16961.0,18575.0,4.2700000000000005,0.0,4.2700000000000005,0.08211538461538462
WHITESVILLE CSD,2022,0.24,0.11,24.0,12.0,50.0,12.0,50.0,41.0,6.0,47.0,150.0,91.0,2.0,0.0,5.0,0.0,95.0,11.0,30056.0,31731.0,5.76,1.32,4.4399999999999995,0.36999999999999994
CUBA-RUSHFORD CSD,2022,0.05,0.03,85.0,44.0,52.0,41.0,48.23529411764706,46.0,7.0,53.0,745.0,97.0,0.0,2.0,2.0,1.0,94.0,19.0,22199.0,24174.0,4.25,1.3199999999999998,2.93,0.07146341463414635
SCIO CSD,2022,0.07,0.0,38.0,5.0,13.0,33.0,86.8421052631579,48.0,7.0,55.0,245.0,90.0,0.0,1.0,0.0,0.0,96.0,20.0,31642.0,34538.0,2.66,0.0,2.66,0.08060606060606061
WELLSVILLE CSD,2022,0.08,0.23,106.0,11.0,10.0,95.0,89.62264150943396,51.0,1.0,52.0,1069.0,90.0,0.0,1.0,2.0,1.0,94.0,18.0,19351.0,20682.0,8.48,2.5300000000000002,5.95,0.06263157894736843
BOLIVAR-RICHBURG CSD,2022,0.13,0.22,82.0,17.0,21.0,65.0,79.26829268292683,57.0,0.0,57.0,652.0,92.0,0.0,1.0,1.0,0.0,97.0,14.0,19729.0,22361.0,10.66,3.74,6.92,0.10646153846153845
CHENANGO FORKS CSD,2022,0.09,0.27,109.0,7.0,6.0,102.0,93.57798165137615,32.0,1.0,33.0,1279.0,93.0,1.0,1.0,4.0,0.0,91.0,14.0,18941.0,20706.0,9.81,1.8900000000000001,7.92,0.07764705882352942
BINGHAMTON CITY SD,2022,0.18,0.29,454.0,56.0,12.0,398.0,87.66519823788546,74.0,0.0,74.0,4610.0,86.0,4.0,28.0,16.0,3.0,40.0,18.0,20383.0,23643.0,81.72,16.24,65.48,0.16452261306532664
SOUTH MOUNTAIN-HICKORY COMN SD AT BI,2022,,,,,,,,,,,,,,,,,,,,,,,,
HARPURSVILLE CSD,2022,0.17,0.3,63.0,11.0,17.0,52.0,82.53968253968253,56.0,1.0,57.0,593.0,92.0,0.0,1.0,1.0,0.0,95.0,18.0,21416.0,24811.0,10.71,3.3,7.410000000000001,0.14250000000000002
SUSQUEHANNA VALLEY CSD,2022,0.23,0.13,99.0,3.0,3.0,96.0,96.96969696969697,40.0,4.0,44.0,1333.0,91.0,0.0,1.0,4.0,1.0,89.0,11.0,21287.0,23606.0,22.77,0.39,22.38,0.233125
CHENANGO VALLEY CSD,2022,0.22,0.26,115.0,28.0,24.0,87.0,75.65217391304347,35.0,2.0,37.0,1582.0,93.0,1.0,2.0,3.0,1.0,88.0,16.0,17770.0,19454.0,25.3,7.28,18.02,0.2071264367816092
MAINE-ENDWELL CSD,2022,0.08,0.08,172.0,13.0,8.0,159.0,92.44186046511628,31.0,2.0,33.0,2461.0,94.0,1.0,3.0,4.0,2.0,87.0,16.0,15079.0,16711.0,13.76,1.04,12.719999999999999,0.07999999999999999
DEPOSIT CSD,2022,0.12,0.4,52.0,8.0,15.0,44.0,84.61538461538461,45.0,0.0,45.0,444.0,91.0,0.0,2.0,4.0,0.0,93.0,16.0,25741.0,28483.0,6.24,3.2,3.04,0.06909090909090909
WHITNEY POINT CSD,2022,0.15,0.3,132.0,29.0,22.0,103.0,78.03030303030303,48.0,3.0,51.0,1333.0,90.0,0.0,0.0,2.0,1.0,95.0,16.0,19064.0,20620.0,19.8,8.7,11.100000000000001,0.10776699029126215
UNION-ENDICOTT CSD,2022,0.08,0.08,300.0,47.0,16.0,253.0,84.33333333333334,49.0,1.0,50.0,3313.0,89.0,2.0,10.0,10.0,3.0,65.0,14.0,19396.0,21183.0,24.0,3.7600000000000002,20.24,0.07999999999999999
JOHNSON CITY CSD,2022,0.27,0.29,147.0,11.0,7.0,136.0,92.51700680272108,57.0,1.0,58.0,2193.0,88.0,6.0,12.0,12.0,9.0,54.0,15.0,20312.0,22811.0,39.690000000000005,3.19,36.50000000000001,0.2683823529411765
VESTAL CSD,2022,0.12,0.28,277.0,31.0,11.0,246.0,88.8086642599278,24.0,2.0,26.0,3226.0,93.0,3.0,4.0,5.0,13.0,74.0,11.0,18788.0,19756.0,33.24,8.680000000000001,24.560000000000002,0.09983739837398375
WINDSOR CSD,2022,0.15,0.33,138.0,23.0,17.0,115.0,83.33333333333334,42.0,3.0,45.0,1535.0,92.0,1.0,1.0,4.0,1.0,90.0,13.0,19541.0,21692.0,20.7,7.590000000000001,13.11,0.11399999999999999
WEST VALLEY CSD,2022,0.23,0.67,34.0,2.0,6.0,32.0,94.11764705882352,30.0,0.0,30.0,183.0,92.0,0.0,1.0,2.0,0.0,91.0,22.0,33894.0,36555.0,7.82,1.34,6.48,0.2025
ALLEGANY-LIMESTONE CSD,2022,0.16,0.2,96.0,20.0,21.0,76.0,79.16666666666666,18.0,1.0,19.0,1055.0,93.0,0.0,2.0,1.0,1.0,91.0,11.0,17418.0,18533.0,15.36,4.0,11.36,0.14947368421052631
ELLICOTTVILLE CSD,2022,0.04,0.0,53.0,3.0,6.0,50.0,94.33962264150944,33.0,3.0,36.0,561.0,94.0,0.0,0.0,2.0,1.0,90.0,14.0,18576.0,19532.0,2.12,0.0,2.12,0.0424
FRANKLINVILLE CSD,2022,0.14,0.36,68.0,10.0,15.0,58.0,85.29411764705883,46.0,5.0,51.0,549.0,94.0,0.0,0.0,3.0,1.0,94.0,13.0,25933.0,28427.0,9.520000000000001,3.5999999999999996,5.920000000000002,0.10206896551724141
HINSDALE CSD,2022,0.08,0.2,43.0,5.0,12.0,38.0,88.37209302325581,52.0,2.0,54.0,352.0,93.0,0.0,0.0,1.0,0.0,94.0,13.0,,,3.44,1.0,2.44,0.06421052631578947
CATTARAUGUS-LITTLE VALLEY CSD,2022,0.08,0.23,96.0,15.0,16.0,81.0,84.375,43.0,1.0,44.0,784.0,92.0,0.0,1.0,3.0,0.0,92.0,17.0,21521.0,23587.0,7.68,3.45,4.2299999999999995,0.05222222222222222
OLEAN CITY SD,2022,0.04,0.0,172.0,15.0,9.0,157.0,91.27906976744185,51.0,0.0,51.0,1822.0,90.0,0.0,4.0,4.0,2.0,82.0,18.0,19674.0,21541.0,6.88,0.0,6.88,0.043821656050955414
GOWANDA CSD,2022,0.04,0.09,129.0,13.0,10.0,116.0,89.92248062015504,50.0,6.0,56.0,1006.0,88.0,0.0,0.0,4.0,0.0,63.0,22.0,24344.0,27192.0,5.16,1.17,3.99,0.034396551724137935
PORTVILLE CSD,2022,0.03,0.14,77.0,5.0,6.0,72.0,93.5064935064935,38.0,5.0,43.0,940.0,94.0,0.0,1.0,2.0,0.0,92.0,11.0,15281.0,16883.0,2.31,0.7000000000000001,1.6099999999999999,0.02236111111111111
RANDOLPH CSD,2022,0.05,0.0,82.0,10.0,12.0,72.0,87.8048780487805,42.0,5.0,47.0,802.0,91.0,0.0,1.0,3.0,0.0,88.0,15.0,16452.0,19539.0,4.1000000000000005,0.0,4.1000000000000005,0.05694444444444445
RANDOLPH ACAD UFSD,2022,0.23,0.33,29.0,8.0,28.0,21.0,72.41379310344827,22.0,0.0,22.0,150.0,80.0,1.0,10.0,9.0,1.0,64.0,92.0,53657.0,54883.0,6.67,2.64,4.029999999999999,0.19190476190476188
