DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
ALBANY CITY SD,0.11,0.19,0.09958199356913183
BERNE-KNOX-WESTERLO CSD,0.13,0.33,0.09470588235294118
BETHLEHEM CSD,0.08,0.15,0.06722972972972972
RAVENA-COEYMANS-SELKIRK CSD,0.17,0.21,0.15732394366197186
COHOES CITY SD,0.15,0.28,0.13408163265306122
SOUTH COLONIE CSD,0.15,0.32,0.13310897435897434
MENANDS UFSD,0.1,0.0,0.10740740740740742
NORTH COLONIE CSD,0.14,0.3,0.11261613691931541
GREEN ISLAND UFSD,0.17,0.2,0.15071428571428575
GUILDERLAND CSD,0.1,0.23,0.07919999999999999
VOORHEESVILLE CSD,0.1,0.38,0.07772727272727273
WATERVLIET CITY SD,0.1,0.08,0.10337078651685394
ALFRED-ALMOND CSD,0.18,0.33,0.13124999999999998
ANDOVER CSD,0.17,0.0,0.17894736842105266
GENESEE VALLEY CSD,0.13,0.18,0.11818181818181818
BELFAST CSD,0.09,0.11,0.08379310344827585
CANASERAGA CSD,0.19,0.44,0.1304761904761905
FRIENDSHIP CSD,0.27,0.36,0.20842105263157898
FILLMORE CSD,0.07,0.0,0.08211538461538462
WHITESVILLE CSD,0.24,0.11,0.36999999999999994
CUBA-RUSHFORD CSD,0.05,0.03,0.07146341463414635
SCIO CSD,0.07,0.0,0.08060606060606061
WELLSVILLE CSD,0.08,0.23,0.06263157894736843
BOLIVAR-RICHBURG CSD,0.13,0.22,0.10646153846153845
CHENANGO FORKS CSD,0.09,0.27,0.07764705882352942
BINGHAMTON CITY SD,0.18,0.29,0.16452261306532664
SOUTH MOUNTAIN-HICKORY COMN SD AT BI,,,
HARPURSVILLE CSD,0.17,0.3,0.14250000000000002
SUSQUEHANNA VALLEY CSD,0.23,0.13,0.233125
CHENANGO VALLEY CSD,0.22,0.26,0.2071264367816092
MAINE-ENDWELL CSD,0.08,0.08,0.07999999999999999
DEPOSIT CSD,0.12,0.4,0.06909090909090909
WHITNEY POINT CSD,0.15,0.3,0.10776699029126215
UNION-ENDICOTT CSD,0.08,0.08,0.07999999999999999
JOHNSON CITY CSD,0.27,0.29,0.2683823529411765
VESTAL CSD,0.12,0.28,0.09983739837398375
WINDSOR CSD,0.15,0.33,0.11399999999999999
WEST VALLEY CSD,0.23,0.67,0.2025
ALLEGANY-LIMESTONE CSD,0.16,0.2,0.14947368421052631
ELLICOTTVILLE CSD,0.04,0.0,0.0424
FRANKLINVILLE CSD,0.14,0.36,0.10206896551724141
HINSDALE CSD,0.08,0.2,0.06421052631578947
CATTARAUGUS-LITTLE VALLEY CSD,0.08,0.23,0.05222222222222222
OLEAN CITY SD,0.04,0.0,0.043821656050955414
GOWANDA CSD,0.04,0.09,0.034396551724137935
PORTVILLE CSD,0.03,0.14,0.02236111111111111
RANDOLPH CSD,0.05,0.0,0.05694444444444445
RANDOLPH ACAD UFSD,0.23,0.33,0.19190476190476188
SALAMANCA CITY SD,0.07,0.04,0.07560975609756099
YORKSHIRE-PIONEER CSD,0.06,0.06,0.06
AUBURN CITY SD,0.12,0.17,0.1049809885931559
WEEDSPORT CSD,0.09,0.17,0.08066666666666665
CATO-MERIDIAN CSD,0.21,0.5,0.13983870967741932
SOUTHERN CAYUGA CSD,0.27,0.43,0.23666666666666666
PORT BYRON CSD,0.08,0.33,0.06529411764705882
MORAVIA CSD,0.24,0.15,0.25772727272727275
UNION SPRINGS CSD,0.15,0.43,0.11937500000000001
SOUTHWESTERN CSD AT JAMESTOWN,0.08,0.0,0.08871287128712872
FREWSBURG CSD,0.07,0.0,0.07104477611940299
CASSADAGA VALLEY CSD,0.06,0.33,0.024782608695652165
CHAUTAUQUA LAKE CSD,0.08,0.0,0.09739130434782609
PINE VALLEY CSD (SOUTH DAYTON),0.19,0.21,0.181
CLYMER CSD,0.17,0.08,0.18363636363636365
DUNKIRK CITY SD,0.19,0.32,0.15941176470588236
BEMUS POINT CSD,0.05,0.11,0.040526315789473695
FALCONER CSD,0.08,0.31,0.035057471264367826
SILVER CREEK CSD,0.09,0.2,0.07611650485436892
FORESTVILLE CSD,0.13,0.25,0.1124390243902439
PANAMA CSD,0.12,0.2,0.10933333333333334
JAMESTOWN CITY SD,0.09,0.23,0.06983379501385041
FREDONIA CSD,0.12,0.15,0.1120353982300885
BROCTON CSD,0.04,0.11,0.02395833333333333
RIPLEY CSD,0.06,0.0,0.075
SHERMAN CSD,0.14,0.33,0.12575
WESTFIELD CSD,0.16,0.2,0.1458823529411765
ELMIRA CITY SD,0.14,0.21,0.12892255892255894
HORSEHEADS CSD,0.09,0.26,0.07541044776119402
ELMIRA HEIGHTS CSD,0.06,0.0,0.06837209302325581
AFTON CSD,0.24,0.5,0.17102040816326528
BAINBRIDGE-GUILFORD CSD,0.13,0.27,0.10704918032786885
GREENE CSD,0.1,0.14,0.09636363636363636
UNADILLA VALLEY CSD,0.18,0.33,0.1461290322580645
NORWICH CITY SD,0.19,0.33,0.16783333333333333
OTSELIC VALLEY CSD,0.24,0.4,0.12999999999999995
OXFORD ACADEMY & CSD,0.07,0.33,0.05059701492537314
SHERBURNE-EARLVILLE CSD,0.11,0.11,0.10999999999999999
