YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,ALBANY CITY SCHOOL DISTRICT,16.0,19.0,15.859903381642509,68.0,4.0,51.0,16.0,9.0,72.0,76.0
2014,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,10.0,14.000000000000002,9.761194029850738,27.0,6.0,1.0,1.0,1.0,33.0,3.0
2014,BETHLEHEM CENTRAL SCHOOL DISTRICT,10.0,20.0,9.85337243401759,6.0,2.0,2.0,2.0,6.0,8.0,10.0
2014,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,14.000000000000002,7.000000000000001,14.29787234042553,31.0,6.0,4.0,6.0,1.0,37.0,11.0
2014,COHOES CITY SCHOOL DISTRICT,12.0,23.0,11.72327044025157,53.0,8.0,9.0,6.0,1.0,61.0,16.0
2014,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,16.0,,,17.0,5.0,7.0,6.0,8.0,22.0,21.0
2014,MENANDS UNION FREE SCHOOL DISTRICT,4.0,0.0,4.3076923076922995,23.0,6.0,22.0,7.0,29.0,29.0,58.0
2014,NORTH COLONIE CSD,6.0,30.0,4.82242990654205,9.0,3.0,5.0,4.0,13.0,12.0,22.0
2014,GREEN ISLAND UNION FREE SCHOOL DISTRICT,3.0,0.0,3.3214285714285703,41.0,15.0,5.0,3.0,1.0,56.0,9.0
2014,GUILDERLAND CENTRAL SCHOOL DISTRICT,13.0,45.0,12.52238805970149,9.0,3.0,3.0,3.0,10.0,12.0,16.0
2014,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,5.0,0.0,5.10752688172043,5.0,3.0,1.0,2.0,3.0,8.0,6.0
2014,WATERVLIET CITY SCHOOL DISTRICT,8.0,9.0,7.97222222222222,53.0,14.0,17.0,12.0,4.0,67.0,33.0
2014,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2.0,0.0,2.0,28.0,8.0,1.0,1.0,5.0,36.0,7.0
2014,ANDOVER CENTRAL SCHOOL DISTRICT,17.0,25.0,17.0,40.0,16.0,1.0,2.0,0.0,56.0,3.0
2014,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,10.0,33.0,8.76785714285714,39.0,9.0,3.0,1.0,1.0,48.0,5.0
2014,BELFAST CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0,38.0,13.0,0.0,3.0,0.0,51.0,3.0
2014,CANASERAGA CENTRAL SCHOOL DISTRICT,10.0,20.0,7.6,31.0,6.0,0.0,1.0,0.0,37.0,1.0
2014,FRIENDSHIP CENTRAL SCHOOL DISTRICT,13.0,25.0,12.31428571428571,55.0,7.0,0.0,1.0,0.0,62.0,1.0
2014,FILLMORE CENTRAL SCHOOL DISTRICT,3.0,0.0,2.99999999999999,37.0,11.0,1.0,1.0,0.0,48.0,2.0
2014,WHITESVILLE CENTRAL SCHOOL DISTRICT,7.000000000000001,20.0,5.96,37.0,11.0,0.0,1.0,0.0,48.0,1.0
2014,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,22.0,43.0,21.71621621621621,37.0,9.0,2.0,2.0,1.0,46.0,5.0
